band,central_lambda
blanco_decam_u,3816.848439525634
subaru_ia427,4263.445323259466
subaru_ia464,4635.1278780926195
subaru_ia484,4849.195542046894
subaru_ia505,5062.507236874621
subaru_ia527,5261.13434038497
subaru_ia574,5764.758103863873
subaru_ia624,6233.09166493531
subaru_ia679,6781.126092061296
subaru_ia709,7073.633659690164
subaru_ia738,7361.562392687845
subaru_ia767,7684.892618170851
subaru_ia827,8244.525128274243
blanco_decam_z,9172.342193728482
vista_y,10214.187491440625
